,story_id,story,gpt_response_content,measurement
15,105,"It's ok to get that B/C/D/F. It's very natural to stress out over your grades, they're really the only quantitative/objective(ish) measure of your performance that you get. Especially first year students where maybe you breezed through zoom highschool and then got just totally slapped by the monstrosity that is college. Your feelings and difficulty coping are totally valid. 

It takes quite a bit of time to really internalize that you are not your GPA and to unlink it from your idea of self worth. It is however a journey that is worth starting early because life becomes much happier once you get there. Every one of my friends has done poorly in classes or on exams here and they are still very successful in life (arguably more so than I am). You can still get into the highest tier schools/jobs/med schools with a GPA that isn't amazing. 

Some of them though still can't come back to campus >5 years later without massive anxiety and panic because they understand that grades don't matter to anyone else but haven't internally let themselves off the hook yet. It's really sad. You're not your GPA. I really do think it's worth spending a few minutes a month or so thinking about this until it hits home. It might take you a year but future you will be very thankful. 

Some of you will understand this and be unable to act on it because external familial pressure is what's driving this issue. To those I wish I had a solution but just understand that your parents are human too and they can totally be wrong. They try to do the best they can but they don't magically have all the answers and they don't really know what it's like to be you and the lasting effects that this kind of pressure can cause. Their longitudinal study on parenting isn't concluded yet and it's really hard to alter your path part way through and simply too late once it's concluded. 

There are enough sources of mental stresses in this world and this doesn't have to be one of them. I've had friends totally flunk their classes then walk away with starting salaries that just baffle me. The two really are not as coupled as you'd think.",2,2
16,1060,"I'm currently a narrative creator and game designer for Niantic. Prior to that I was in film school. When I was in undergrad, I got interested in games, I got interested in game design. I took all the game design courses, I'm the only one there who's done all of these. They start to call on me to TA all of these classes. 

They pull in a guy named Flint Dille, and he's teaching a class on alternate reality games. We worked well together, we go our separate ways and then two years later, he is starting to do this project and he needs a guy who can help him, and he calls me. 

I ended up here by pushing in a direction I found interesting and Niantic is very much focused on developing the intellectual property that we own, which is Ingress. We're developing and building this really deep and rich and interconnected sort of science fiction world. 

There was always the risk that I'm driving the primal force of my energy and interest into an area with no guarantees. But I was hedging the risk by just learning constantly, learning how to do new stuff. At some point you end up with so many tools on your toolbelt that you know that if you're backed into a corner you can reach down to the utility belt and be like I know how to do this!",2,2
17,1062,"I knew I wanted to be a police officer. I went in and filled out the application, and they laughed at me. Who's gonna give an 18-year-old kid a gun? But what they did do was give me a parking ticket book and allowed me to work for the police department writing parking tickets, so that's what I did. 

And while I was writing parking tickets, every day, I would go into the roll call room and look at their Most Wanted board. And one day I saw a bank robber, who I actually knew, and I ended up helping the FBI solve a bank robbery. 

Shortly thereafter, I ended up going to the police academy, joined the local department to get some experience, and when I was old enough and I had my education behind me, I came into the FBI. 

When I got my credentials in my hand and I knew that I was an FBI agent,that was it. There was no turning back. 

You gotta look into yourself. What is it that I like to do? What am I good at doing? And once you decide what you like, focus on that. Set your goals, set your objectives, and then head for it.",2,2
18,107,"A former first year here and just failed physics. well, more like no record, but it feels a bit frustrating. I'm a bit worried on how much it will affect me in the future, and I don't even know how I would deal with this if someone were to point it out. 

Don't get me wrong, I think failing is a great learning opportunity, but somehow, failing a class hurts my self-esteem, especially when everyone I know is brilliant and amazing while I feel like I'm so far behind them. 

Maybe I'm overreacting about failing my first class, but I had hope that I would be able to pass the class and not have to worry about it anymore. I only took 48 units worth of classes this semester, but I would say one of my other classes steals a lot of time from physics, and as a result, I didn't put a lot of time studying for the quizzes. 

Didn't know it was gonna go down hill so fast right after drop date. Sorry if this is not the best place to vent or I'm ruining the end of the year vibes for most people, but I just wanted get rid of this awful feeling before it gets the best of me next semester. 

Cheers for another year done for those coming back in the fall and congrats to the graduating seniors!",3,3
19,1072,"My passion was always to find a way to make a difference. But it wasn't until later in life that I really understood how to channel that passion. Right out of high school, I was being recruited to play football at Pittsburgh college and the first day of class, I didn't go. Because I couldn't figure out how I was gonna get from where I live to Pittsburgh College which was at least 45 minutes away. There was nobody around me to really help me understand the value of what that university could provide me. So I just turned it down. 

I didn't understand where I was going or how I was gonna get there. But I went, walked into the doors of a community college and then the community college pulled me in. Now, I have the privilege of serving as the chancellor for the California Community Colleges. So I have the pleasure of representing more than 2.1 million students to have the opportunity to finish a quality college credential and get into a job, or to transfer and something that gives them an opportunity to really achieve what they wanna achieve. 

But that's what it did for me and that's given me the opportunity to really fulfill my passion and take it from there.",2,2
20,1073,"I'm the Vice President at Ascend Insurance Brokerage and we work directly with the entertainment industry. We work with music venues, music festivals, touring artists, event safety, event security companies. I got into this industry by accident. I was playing in a band and we were touring the country, having a lot of fun, and not really thinking about insurance, to be quite honest. 

My broker said no one knows this industry like you, come to work for me, and I just found out I was really good at it. It's cool because I'll talk to people and I'll tell them what I do and most commonly people are like, I didn't even know you could get insurance for that. 

I think the beauty of the industry is that the insurance is everywhere. It doesn't just stop with home, auto, life. If you're into extreme sports, I know a brokerage in California that focuses on extreme sports. If you're into hunting and fishing, I know underwriters that specialize in that industry. 

Get an idea of what's out there. If you're sitting there going I'm not quite sure what I wanna do in this industry, that's okay. There's a lot of opportunity in this industry so feel around.",1,1
21,1081,"I have a very gradual retinitis pigmentosa, real gradual degeneration of the retina. So I went through all the phases of low vision and now to just about total, total blindness. 

It started to become an issue when I was 21 and was diagnosed with this disability. And then, I was aware of what my future was going to be like, that I was gonna be going blind. 

So having a disability is like playing a puzzle. If you like puzzles, boy, having a disability is great, because you are always trying to figure out how to do something, how to make it work, how to find technology that works. You gotta make it work for you, and I think it's very important for everybody to say, hey, I got a disability and get to work on having a great life. 

That's absolutely essential, and I see a lot of people that do not accept their disability. They're waiting for a cure or something like this, and the wonderful advances in medicine. That's great, but you can't build a life around hoping for something to come and cure you. You just have to figure out ways of making things work.",3,3
22,1085,"Once you've done hard manual labor for a year, it makes you realize you don't really want to do it for the rest of your life. I quit that job, took the money it paid me, and my wife and I went backpacking around the world for 18 months. I come back and I'm 30, I'm broke, I'm living in my mother-in-law's house, my wife's grieving. It's just not a good time. 

I realize it's time, I need to do something I want to do for the rest of my life. I see an ad in the Sunday Chronicle, for the assistant to the publisher at Mother Jones Magazine. I was just like, ""That would be the job for me. That is a place where I can see myself. That's the right fit for me.'' 

Just through a combination of luck and good timing and working hard and being the right guy at the right time, I worked my way up the editorial side to the managing end. 

If you can create some space around the way, create some kinks and creases to get off the path and do some other stuff, do it, because it'll have amazing repercussions in ways you don't even know about.",2,2
23,1092,"I was born in Lima, Peru, and I came to the US when I was 5 years old. I remember being a kid, and seeing my aunt and my grandmother clean homes. They all cleaned different homes. And sometimes they'd clean these beautiful homes. You'd always think wow, I wish I could live in a home like this. And so seeing them work so hard I think instilled a kind of good work ethic in me. 

I became a US citizen at 21. It gave me a huge sense of love of country and love of this country, and I knew then that I wanted to do more to give back. I'm the youngest mayor of any big city in the US. And having to deal with the fact, I was trying to prove myself because of my age, that I can do this job, and yes, I'm gay, that provides some challenges. 

But for me, the part that defines me the most, besides being young or being gay, is being an immigrant, because immigrants don't have easy lives here. And I think sometimes there's a lot of conversation about immigrants and their contributions to this country, and I think the contributions are incredible. 

Here I am 15, 20 years later, I'm a mayor of a big city. That's an immigrant that got a chance, and there's so many other immigrants out there that want the same chances.",2,2
24,1098,"So I'm a highschool drop out. Teenage life got really tough, like the family started having problems. So I learned from a young age about money, how it can really mess things up. But it just got to the point where I needed to find my own happiness so when I was 17, I ran away from home, moved to the mountains, and got a job as a lift operator. 

Everything fell apart, I ended up living in a tent in the woods, in the snow. And I was just so dedicated to wanting to ride that I just stayed, went with it. So I was digging, I was a good digger and I wanted to ride. 

So the guy who had the first opportunity to build summer parks up there, he's like you're our best digger, do you wanna come and run the show next year? So within that one year, having that vision and that drive to do it, and that sacrifice of actually living in the mountains in the snow, it all worked out. 

Within two years I was working and writing for Volcom. I was getting paid to snowboard and I was building a snowboard park that was changing the sport. It happened fast.",3,3
25,1101,"I am the mission lead of the Mars Curiosity Rover. I came to the US when I was 17, just graduated from high school, and I loved to watch I Dream of Jeannie. And the guy worked at NASA. I used to dream that maybe I can work at NASA one day. I had a picture of me standing on a room with a bunch of people sitting down and I was saying what we were going to do. That's my job today. 

The impact that I wanted to do in the world was not gonna be an impact that I was gonna do in five hours of work or in a day or in a month of work. It was gonna be an impact that I wanted people to sit down in school and read that textbook and say Curiosity Mars Rover discovered x, y, z, and then my name in there. 

And so you might have to actually sit down and think, what do I wanna do? Or who do I wanna be? That's gonna help you realize what excites you. Try to tie it down to your path and then your education and then just hold on to it.",2,2
26,1104,"The median wealth of a white family is about $110,000. The median wealth of black and Latino families combined is somewhere around 15 to $20,000. The only way for us to boost that from 15 to 100,000 is to do things like tech. 

But when you go to college, you're not just in this bubble, you're taking all of your family responsibilities with you. That responsibility, that burden of my family doesn't have money to pay bills, or to pay rent, that stays with you. 

How are you going to class, and you're thinking, okay, let me study for the CS test, but my mom's calling me because there's not enough food to eat, or my sister's calling me because they don't have supplies for school, or new clothes, or anything. 

So you're bringing all of those things with you. Finding people to be able to relate to that are advisors or councelors that you can talk to about those things, that understand you and can relate to you has really helped because they understand me, they get it, I'm validated. 

Now I can focus on taking this test, or studying for this exam, or doing whatever else you need to do.",3,3
27,1114,"I think I've always had that fire in my belly for impact. An exercise in a leadership course that I took helped kind of solidify this for me that you need to find your sweet spot. The way we define sweet spot is if look at like a Venn Diagram of three circles overlapping, one circle is what you're passionate about. The next circle is skills, what do you excel in? And then the third circle is your values. So where the three overlap, that's your sweet spot. 

So for me I loved the idea of events. I loved the idea of people coming together and learning and engaging and sharing. And then I realized I wanna figure out a way to impact the world around me. And so I decided in 2008 to go off and start a business. And we work with government agencies, cities, corporations, nonprofits, and large scale events on implementing sustainability plans. 

I love the impact and the work that we're able to do all over the world. And so I think it's really important to really embrace who you are and all of your decisions, so respect that. Respect your gut feeling. It's coming from somewhere. It's coming from inside , and I think it's important to really make sure that you're staying true to yourself and your own personal mission.",2,2
28,1118,"We took a really cool course that invited people who weren't engineers but who wanted to do some sort of science change. It was an art science class that said, it's all about combining the beauty of art and the analytical power of science to do something so you just had to come in and have an idea and then find a way to combine those two to come up with a solution. So we just locked ourselves up and brainstormed. And this is what we presented. And thankfully being at somewhere like Harvard there were a lot of resources that were made available to us. So from the class we got a small grant to keep on playing around with the idea. 

And for awhile it was just kind of trying to understand what is this ball. Engineers didn't believe it could work. So we actually had to research how it would work. Research the Faraday Principle. Then, build their own conceptual model, test it in South Africa and then have engineers say okay. 

For us it was really interesting, because people always say, how do you think out of the box? And I'm like, it's really easy to think out of the box when you don't even know the parameters of the box. If you don't even know that a box exists, whereas knowledge is power. Sometimes with knowledge it's very easy to see the obstacles. And we were just like, why wouldn't it work? 

Even though we did not necessarily have the technical expertise, we certainly knew the context.",1,1
29,1120,"I started my career in law as a paralegal. So I thought I was gonna be a lawyer and then I kinda never met a happy lawyer. Coming from that environment, I went into film and TV. I knew all these guys that were selling TV shows, market by market, which was known as a syndicator. It is sales, it is pitching, it is being able to speak, I was like, wow that's a great job, I wanna do that. 

So at that point I convinced some investors to take a chance on something really different. I felt there was a real void in terms of translating video games to proper entertainment. And as I went on my journey to focus on providing an independent, go to source for Esports and competitive gaming, I thought we can really build the news unlike any other. And so I created Gamer World News and it's growing today. 

I had a long career in TV and TV syndication and all that, and that switched. And I wouldn't have thought I'd be on national news as a contributor, that wasn't my path. But that led me to do it. So push yourself to do things that are a little outside your comfort zone, that you actually don't think you're qualified for.",2,2
30,1121,"My father married my stepmother and I didn't know that that was my stepmom, because they got married when I was 2. She abused me, her brothers abused me. And I had a lot of law enforcement contact when I was a kid. 

I remember the cops saying, we can't help you. We know you're lying, but we can't help you until you say something. So that just really resonated with me, and I always wanted to be a cop. So I've been a cop for 18 years now. 

I remember when I was going through the academy and people are yelling you and they're throwing things, I would see my stepmother's face and that would get me through that. When I had this huge tact staff officer and I was staring at his chest and he was yelling at me, I'm like Dude, that's all you got? I've had the worse happen to me, bring it. 

You gotta dig deep. And remember, whatever feeds you, mine was anger towards my mom, and I wanted to prove her wrong. You gotta find what that thing that gives you a fire inside and just focus on it, and it's a daily thing of working on it.",3,3
31,1134,"My first few years of college, I took a computer programming class, I took a bio-medical engineering class, never really took a great liking to them. I had been working in the restaurants and I realized that's something I enjoyed. I had taken a job out of college with a restaurant company and I've been working for them for about a year and half. It was a good learning tool, but sometimes I felt like I was getting beat up. 

So, my brother, he was about to finish school here, in San Marcos. And he was calling me and saying, hey, let's do something on our own. It just kind of came to a head for me and I put in the two weeks on my job and I moved back here and there was a gentleman operating a pizzeria in this space. He literally just closed the doors one day. 

So, we took over the space and that's how we got in the pizza business. We weren't really expecting to. Sometimes you have to make a decision about doing something you don't know the outcome, and it's very risky. In some form or fashion, you're kind of crossing your fingers that it's going to work out.",2,2
32,114,"When I got here as a freshman I had no social skills whatsoever. My parents pretty much locked me up with videos games a kid. Their reasoning was if I was around other kids they would get me hooked on drugs. Had my parents actually done any research on drug addiction they would have learned that social lives generally help people stay sober. 

So when I got here I couldn't hold a basic conversation with most people unless it was about schoolwork. I remember spending every night crying alone in the shower so my roommate wouldn't hear because I didn't know how to express myself or relate to him. Most people thought I was a lunatic or autistic, or some interesting combination of both. 

I slowly observed and learned how to do social skills with other people. My first two years here was a long painful series of poor interactions. I remember wanting to shout when people gave me odd looks, ""I'm trying to learn how to talk to you, I'm 10 years behind and I have to catch up, can you cut me some slack?!?!"" 

I slowly got better, made friends and even have a girlfriend now. They all actually make a point to help me be aware. So I want to let everyone else out there feeling like they can't learn to be normal with people, you can do it. It's going to hurt and be scary, but I promise with work and determination it gets better.",3,3
33,1140,"When I was 18, I left for the Navy and joined the military and went in to learn signals analysis and not computer stuff. When I was in college, I tried a second time to get out of computers. I was the first one in my family to go so I really didn't have any experience. 

I went for an art degree and I realized I'm horrible at this. I can't draw. I think I got an assignment that said, describe or write a report on some classical architecture. I got a D on it, and I was like what happened? You're meant to explain how it made you feel. And I was like this isn't for me. 

So the next week I changed over to programming instead. I kind of stumbled into malware analysis because that was one of the classes they offered while I was in the Navy. I took that, and I said this is awesome, this is great, I love doing this stuff. 

From there I learned how to reverse engineer and did that for a few years. I worked as a contractor after I got out of the Navy and then I got in with Malwarebytes. We do all kinds of stuff from research and analysis to presenting. 

So that's how I'm where I'm at right now.",1,1
34,1143,"We are creating soft multi-layered forms that interact with environments. And create a space in cities that open up our imagination and allow us to think about a different way of being. 

So I had $300 and for graduation I got a plane ticket to Bali. And I went off on my own and started walking through the rice fields until I found a little house to rent. I went as a painter, I shipped all my paints and they got lost, and that is how I became a sculptor, because I had no paint. 

I was in a fishing village, they had fishing twine, and began just experimenting, and from there I had this dream of bringing it back home. I applied to seven art schools and I was rejected by all seven. And that turned out to be the luckiest thing ever in my life, because it forced me to have to learn how to teach myself. 

The education to do what I do, there is no program. If I had gone to a program, it might have led me somewhere, but it wouldn't have been as authentic a direction. Any kind of life where you're trying to do something new, and creative, you're gonna hit rejections all the time. 

My mom had a saying for that too, it's like just toughen up, let it come at me. Just because you're rejecting me from every single art school I've applied to, that doesn't mean you get to say that I'm not an artist. 

The thing I had to teach myself after college, was how to hear my own voice, like honestly I just didn't even know it to recognize it. Making decisions is gonna happen to you your whole life, they are always hard, you've got to figure out how to make them. And you have to listen to yourself and get to know yourself.",2,2
35,115,"The memorable event was my birthday which took place last month (September).I am one of those who prefer to remain in silence and celebrate occasions with a few close ones, but this particular one, I got a surprise birthday party from my siblings and boyfriend. I wasn't in anyway aware, It was a great celebration and one I can't easily forget. There were plenty of drinks,foods and cake chocolates and loads of blessings, wishes and prayers from friends and family. 

My friends came over,most of them with different beautiful gifts, some with drinks. I got a beautiful black dress as a gift from my boyfriend, I changed into it, had some makeup on, jewelry, and a beautiful diamond shoe. We took plenty of beautiful pictures, danced, games, we really had fun. Its been a really long time I had a party, I was glad to be surprised with this particular one. 

I got a big frame of myself from my siblings and also a diamond ring from my partner. My boyfriend proposed to me with the diamond ring that very night, OMG!.My joy knew no bound, we partied all night. I was grateful having such great and beautiful people around to celebrate me. 

The event is so fresh in my heart. The decoration was colorful and beautifully arranged in the colours I love so much. I will be glad to have more birthday parties in subsequent years. My engagement will probably be the next great event I will be witnessing soon. Having people around you is a real deal.",3,3
