,STORY_ID,PROLIFIC_PID,Empathy_Reasons
43,5,5960c8eeb9153e0001616715,"1,2,3,4,8,10,12"
44,280,60953e706e4315704b74eb1f,"4,6,9,10"
45,143,59c63ec50aaf750001213c37,"3,4,6,9"
46,236,5e95b16a5a20a7024211e6f5,"3,6,10,12,13"
47,266,63f799908e217b159f1fbb3d,"3,4,7"
48,297,5f50e92ea80f5b286b90d157,2
49,268,5f1efb97bc6bff0850ca8eca,"2,9,11,12,13"
50,197,61290a6d15caaf4829964185,"2,6,7,8,9,10,11,12,13"
51,179,65b13b298787bfd79abc7752,"2,3,4,6,7,9,10,12"
52,13,5b166e64dbae3e00017e5ddb,"4,9,13"
53,279,5b2514ddba31fb0001253cf1,"3,7,9,10,12"
54,186,65b361173dc16c185f9dbdb1,"2,7,10,12"
55,127,6165dd3cc707738c27ffdf0a,"4,8,9"
56,164,5d39270980ccd20015ac3ee0,"4,10"
57,170,5f7735ba0b8f6221c5c2995f,"2,3,4,8,12,13"
58,288,6500656dce83949db89baeec,"4,9,11"
59,187,636419013bc521fae9f7db90,"4,8,9,10"
60,132,63bc692d3b234cef2d65eed7,"4,6,12,13"
61,55,6136347d66f91d960dbb264a,"8,12"
62,177,651ee5837c0971b81504ea6f,"3,4,6"
63,123,5c61c1f594ff070001830a99,"1,2,3,4,6,7,8,9,10,11,12,13"
64,140,611a45a99c4ee56ad9247e09,"2,3,4,8,9,13"
65,213,604c5ff80862dbf0bfe4caac,"4,5,9"
66,217,5e98125b717b31000aaa042d,"3,4,7,8,9,10,11,12,13"
67,264,5ea963e404c8da03b9ce62fe,"3,4,5,9,13"
68,166,63d7d24b7c5c14735adffba7,"2,4,8,9,11,12,13"
69,184,54249d5bfdf99b691e6ac9a0,"4,6"
70,301,60d35fa71e56e17e064c2c1e,"4,5,7,13"
71,266,602bebe42e34a23d1d0f72a3,"3,9,11,12"
72,115,62b5edc0f30897b95f76308b,
73,175,5eba9c85d1130507bd1a6219,"2,4,8,10,12"
74,226,614964ed4d5b9991b0fd700d,"2,7,9,10,13"
75,34,66105399d0c91c3e9e4c3bce,"3,9,11,12,13"
76,214,597c6cdf21db3a0001418541,10
77,3,5f69f87e83dfd701bfc84b39,"2,3,6,9,10,12,13"
78,285,5c1a9e323407be0001cf8165,"10,11"
79,189,6527f30cbb4e33f0f49944b0,"1,3,4,5,6,7,9,10,12,13"
80,205,656f2dfc805e68124b9b8217,"2,3,4,6,8,9,12"
81,1,59e8502b7f3d71000171df0a,"7,12"
82,84,594dd3de0dd7710001aeb5e9,"6,12"
83,145,59db7128e776fd00015ec895,"3,4,9"
84,107,5c7ed92f9c3fc00016f4e7dd,"8,9,10,12"
85,262,60ec5f9e9b8a3146ae4feac9,"2,3,5,6,7,8,9,10,11,12,13"
86,98,5fbb4b0d5fdea9c55f813ace,"1,4,5,9,10,13"
87,54,59ba64d06039190001eaaefe,"4,7,8,11"
88,119,6536729a14a02ad857b2ba04,"2,4,6,9"
89,265,5f74b3a0d780450b219f8616,"4,9,10"
90,268,60fd9b084a91f75f655da04f,"2,7,8,9,11"
91,42,563fbaae074be600115e9681,"4,9"
92,197,589b0346742ceb0001298b8e,11
93,15,56ad2bf85ea7aa000cbdf563,8
94,18,5ea6e9e63f70fe077f9b6abc,"2,4,9,11"
95,187,63f79db67653ad752d6c4477,"4,9,13"
96,61,5efcdcfeaead790f210c3181,"3,4,9,10"
97,268,602d1dd2d6ab3e694ea6ae9c,11
98,175,5cb2d3be2df32800172e3736,"4,6,8,9,10,12,13"
99,115,61bb384140db417c1a138c01,"3,7,12"
100,174,63d3fbb8c9da3aa4f9302827,"2,6,12"
101,241,642b03776e1d23aedc7bf5d1,"3,7"
102,,660d6f0b28273407c7cdfcbe,"6,8,13"
103,260,55198e94fdf99b36282b8a38,"2,4,6,8,9,12"
104,189,6149fc2761756b05d279d551,"5,7,9,10,12"
105,247,5e83247a6d7daf01d9a33632,"1,6,8,9,11"
106,185,5fa17668d344ba27114bdffe,"3,7,8,10,11,12"
107,273,65d757192a098c1e80fc61a5,"7,8,9,11"
108,274,5bc35154e7382100017cb9ef,"3,4,10"
109,46,632892646eb1fff474584dd7,"2,4,7,9,12"
110,280,5b731044b9daa700013fb269,"3,7,8"
111,221,5e176bb71a0686000bc8d314,"3,4,8,12,13"
112,215,5fb07c9ec19dcc47ed7175a7,"2,8,9"
113,,5c853fb8de8ae1001703d476,"3,4"
114,20,63d1590f1a0901cc2e861c32,"3,9,10,11"
115,226,607024597965d2372e3467be,"3,7,10,11"
116,177,603aab1865fbaa6fb8212583,"3,4,6,9"
117,,6124112341a3ec8fdf0f4886,12
118,57,54f8b0cdfdf99b5396a7d0a2,"2,4,7,9,13"
119,56,613d0bef49567e90a537d4d1,"2,5,8,10,12"
120,293,65bd1602798620a25a73d406,"4,6,9"
121,66,62b4688a155412edaf3f73a3,
122,,60fca4bf2a43e1683bb49cbb,"3,9"
123,3,63bda933c73904ed03687fd5,"2,8,9,10"
124,162,61140d2c5d85c524932a2c59,"3,4,6,7,8,9,10,11,12,13"
125,,60ee1474e6467957994ce2ff,"3,12"
126,14,5ef5226247f0991548028a7b,"4,6,8,11,12,13"
127,124,62cee327fdbabb98dd7d5699,"2,3,5,12"
128,231,5c980d0ecff9b20016cae76f,"4,7,8,9,11,13"
129,186,6405ca903145ccd2557ed52f,"1,5,12"
130,98,5999aedebbe8480001796677,"3,5,9"
131,285,5bef14ec21057a000140922a,"6,9,12,13"
132,,5b3355c9975e260001e986bd,"4,6,7,9"
133,,5a95935889de8200013ed605,"4,9"
134,,5ca35f23219293001653e971,"8,12"
135,204,634699cbb044d59e19d5a7ea,"2,3,4,5,10,13"
136,,627e79a6e1f2b10601861ca6,"1,5,6,13"
137,272,60e8f275f92d76c8f3a687bb,"4,6,10"
138,142,5b2e953a1d2f710001fb3ccd,"11,12"
139,142,62fa15b2c6c2fe8734da7698,"2,3,4,6,7,8,9,13"
140,181,612e41fb25de530ea83df0bc,"1,3,5,7,8,10"
141,245,5fd410790e3b0716869c801e,"3,4,8,10,12"
142,220,63d3e40d92c3c1dac54e2ee2,"8,9,12,13"
143,229,660e69ed7a38b4550665bd84,"9,10,12,13"
144,128,58fc6017ee99a700012ce5d8,8
145,297,558996f2fdf99b7ae47f5ed2,2
146,33,5ebfe132d46d24025eccd30d,"3,7"
147,296,5f341e306c067e1255643375,"2,9,12"
148,216,5d4960da4f91710019d9fc14,4
149,120,660b0645850199758392bd5b,"3,6,9,12"
150,216,57bc1180d50f410001e16ee9,
151,164,653a79ee361748065599e0c1,"4,7,9,12"
152,57,652039fb074c5f0f835a33cd,"6,7,10,11"
153,232,5bd30d709afb5b00015bff4f,"5,7,12"
154,225,6290de7fb740c5593c1c37c7,"4,7,8,12"
155,45,5a7da426190420000155b6d9,"1,8,10"
156,5,63e61d24e1c77b4b584e879f,"2,12"
157,42,59860b0414f85e0001506faf,"6,7,9,13"
158,256,5f76e2c2c75fa118deba7f46,"8,10,11"
159,157,65b819d036c983737c87e6dc,"1,2,3,4,10,11,13"
160,185,58d9300e33fef3000118a808,9
161,3,5b4e50fb369f840001136070,"2,7,8,12"
162,148,5c8b65b1a8990e0016f682ed,"4,7,8,9,10,12"
163,207,5d1a70c42ba4ad0001d622e1,"3,4,7,8,9,10,12,13"
164,213,5a32e703c862ce00011155f6,"3,7"
165,56,5eaaa1f09980ee025a0e1f12,"2,3,4,6,7,10,12"
166,152,5d1534993fa4550019cf8aec,"6,7,8"
167,184,62d793b216e1b007c88f156f,"3,9"
168,181,5601ab2ea66d100012d5c38a,"7,8,9,11,12"
169,126,6141f62294ff9bf9d89e8897,"3,4,6,7,8,9,12"
170,92,5c3ce3a6de04ad0001d8a6cc,"1,3,4,8,10,12,13"
171,235,6018880c76e9e614739fde32,"3,4,6,8,9,10,12"
172,46,611a634c7e0e602c9a6b3ad1,"2,10"
173,295,58bb44dfb225d90001d09eb7,11
174,234,660ff676747a1a7c2e89dcfa,"1,3,4,6,7,9,10,12"
175,1,5e696506e570590a12418b2f,"2,4,7,11,12"
176,168,644ac4fca1359a25ea5cea3f,"3,4,6,7,8,9,10,12"
177,156,57e028b7ccd0230001fc2462,"4,7,9,10,11,12"
178,158,64136034f020e6b765d0bc4c,"9,10"
179,107,5d62e42406ed5a001a2084f3,8
180,242,632b1b35331d4efbfb0d0f8d,"9,10,11"
181,132,61578a0443488f198fa5e698,"6,7,9,12"
182,286,5702c03e68c641000e0d754d,"4,8,9"
183,279,5912e4505c9346000127d2e5,"3,9,10,12,13"
184,252,59860ea5fd8cca00015cba4d,"3,4,10,12,13"
185,147,5a986d1789de8200013ef74e,"3,4,8,9,10,11,12"
186,243,5dee48a67309b94df13ddbce,"2,3,7,8,12"
187,121,62d6defa1986d536fcf8c525,"4,6,8,9,12"
188,63,5f71d4cc0d3ce7052e72c357,"3,4,6,13"
189,,62d138e361857aef127c9e8b,"2,5,6,9"
190,270,572685c4f2a83f000d6aecee,"3,4,8,9,10,12"
191,84,5cdc899d48d5f100195fafff,"7,8,13"
192,179,6071a3faff84952d04771a21,"2,3,11"
193,52,6043a1dc4c33ef37c64f0812,"3,11,12"
194,84,5b703ad76f0ed10001bfb0af,"7,11"
195,170,61bb376140db417c1a138a3e,"3,12"
196,136,59a9abfb2ab6b80001a7df7f,"5,9,11,12,13"
197,94,5c9c7cc072bf7f0017b6b798,"1,4,9"
198,181,63f87a8c4655faf50e6c445b,"4,6,8,9,10"
199,269,64aeffcd788189abe537458b,"4,6,7,9,10,11"
200,190,59b58976773f4100014879ec,"1,2,3,4,6,7,8,9,10,12,13"
201,274,628f6adcc2f8f5d3d42113e3,"3,4,6,9,10,12,13"
202,157,5f985f3a4bc1cf120675f408,"3,4,9"
203,171,5accf2c4fa3b4e000173d11e,"3,8,9,11,12"
204,281,607713f930627fc4d4e42906,"2,3,4,7,8,10,11,12"
205,127,6400da876003cad093b2118f,"1,3,4,5,6,7,8,12"
206,185,574aff1b5bef980007af2745,"3,12"
207,123,57a7326516a091000112edb2,"2,3,4,7,8,9,12,13"
208,45,65d1d2f7bbb5b1ec274b3253,"3,5,6,8,9,10,11,12,13"
209,295,644182ee572368b72f681f4b,"3,8,10,11,12"
210,145,5d62dfb2459f070001e8cb14,"6,10,12"
211,274,5ea98a67b0e52209527635f7,"2,4,9,10,11,12,13"
212,100,5b29585924931e0001198e11,"2,3,6,8,9,10,12"
213,230,5e122c6d6887bc8b881c4426,"3,4,8,12"
214,221,5ea1e407df1e160c7db497c7,"3,6,7,9,12"
215,124,6604001ede509812e39b3d0d,"7,9,12,13"
216,54,5e8f569436e20a234f89a6f4,11
217,61,607bfa69c30f5eb868379464,"1,4,9,10"
218,56,5615f3a47ffc8a000f812714,"2,3,5,8,10,11"
219,282,62ed08434085fad9eefdfe1a,"2,5,11,12"
220,236,62029c60ef1cb18a1337c9d4,"3,4,5,6,7,8,9,11,12,13"
221,273,59baa4f5178f1b00018289b2,10
222,152,572bac993437df0008444fba,"2,9,10"
223,136,5c3f18cf105d550001417ef0,"3,4,8,9,12,13"
224,141,627126d9ccfbfad602369830,2
225,44,65d0c78cf2eece985d8dd852,"2,4,9,10,13"
226,14,5ea29c5cad06661b01230684,"3,6,10,11,12"
227,277,597b92f0a33b0d0001fd3d90,"8,9,10,13"
228,66,5fd763c986c8250530939ce2,"3,7,9,12"
229,214,60eead911e567d29abb34468,"8,9,11"
230,221,596de39c9fd5ee0001b704c3,"6,9"
231,217,63d021639b090bcb4ece2e73,"2,4,7,9,13"
232,227,5cd942fdcc98b20019852b50,"2,3,4,6,8,12"
233,208,659ab50980820849a02c0b5f,"2,7,8,9,10,11,13"
234,220,637f86d14043aee189917962,"7,8"
235,227,647090588c2da260a10bde21,"3,7,10,12"
236,286,5f48cc495940140223c41866,"1,4,8,9,11,12"
237,142,63cedf1831b133e663467969,"3,4,6,7,8,9,12,13"
238,236,5cf6e4aae289a80019b6e032,"9,12"
239,259,63bd84ca385caa952ea5cc78,"1,2,3,4,9,10,11,12,13"
240,199,5fecec76827f81eea8e1796d,"4,7,9,11,12"
241,213,631651b59af8f4dc7c01cf6e,9
242,206,6103082117238ae6d0c3e805,"8,9,12"
243,138,5d514a73f20feb00160b5e0e,"3,8,9,12"
244,273,5e4a9e0ade1012000aa3de0e,"7,9,10"
245,248,6571fd9d691befe21fa61d18,"1,6,11,12"
246,107,65df4369886094bb19030a5e,"1,2,3,4,5,6,7,8,9,10,11,12,13"
247,257,59479251f236120001ecf9a2,"8,10,12"
248,48,6007ec6b66d5f4321ead3ce7,"3,7,12"
249,129,60887cbf254deb7ab5095f77,"3,8,9,10,12"
250,264,6229dc46db19c545656a6d4c,"2,7,9,10,11,12,13"
251,285,63468dd619d9b90d5b8b76c9,6
252,152,6612e4e2da841ae356eef1d4,"4,5,6,7,9,10,12"
253,144,6329c510ea44255e948f8492,"3,9,10,11,12"
254,12,5ff761708dc97a400e1d0a81,"8,12"
255,299,5c322f84508b7a0001fcb70d,"3,4,7,8,9,12,13"
256,297,62b2aea60b8dbf2bda1d67e7,"3,4,8,9,10,11"
257,100,5d43d8751e6eef00171decb2,"2,4,8,9,11"
258,290,5f68c02bfe85b202e0f00cc7,"10,13"
259,176,62e023ed4b0fdb8c95a9e47f,"3,7,8,9,10,12,13"
260,,610d4df86c4abc6b5ced6fa0,"2,4,6,8,9,10,11,12,13"
261,186,611adee82e2e623f7eb77643,"2,3,4,5,10,11"
262,18,62a1d848cc2237ff6738870f,"3,7,8,10"
263,138,56b4fd68a9d33a000a891ff9,"2,3,4,6,7,8,9,10,11,12,13"
264,46,5aa670b41eda41000136d80a,"2,5,7,10,12"
265,182,6054986d528d69b89f04aacd,"10,13"
266,248,5b168549f6cef00001428386,9
267,51,64137d203dcddad061ff78dc,"5,7,10"
268,277,64135a879bd10086260ce23b,"3,6,9,11"
269,242,6140f89d1e3eb6c838729c12,"7,10,12"
270,256,645a0f712b769eff5a97d2b2,"7,8,12"
271,55,59a456d1ec2f75000124f081,"3,4,12,13"
272,184,644a6b401909670b5aa92694,"5,9,13"
273,293,5ea168fcfe333e0008434179,"3,7,10"
274,183,5c87790e4b0de20001352297,"8,10,11,12,13"
275,143,611a534847508cf4efe439f9,"3,7,11,12,13"
276,45,5f0c86cbe4af1361b7158f3e,"2,3,4,6,8,9,12,13"
277,176,5f622fbe1fbbd21051cb28b3,"3,4,7,9"
278,120,60dfa6a5a12413b99195c3de,"1,9,10,12"
279,237,62962018b1bef67edfd5718e,"3,6,7,8,12"
280,143,5bcda2ee6fd72000014996e4,"4,8,12"
281,166,609428df71e61cae4b2a67f3,"2,4,7,9,11,12"
282,293,5d7695cc7ae60f001bc4bde6,"7,8,11,13"
283,164,58545249cceb5b0001e4875a,"3,8,9"
284,182,5cf16528d02943001a98f4e0,"1,4,5,6,7,9,10,11,12,13"
285,149,647f99680ecd4f7712a8c8f9,"9,10,12"
286,,626a4c6b8d3ce0d9edcbfeab,"8,10"
287,242,60b1073cfd6d4ef92a3fed74,"7,9,10,11"
288,149,63ee6ca92186ac65c4437d62,"1,8,10,12"
289,32,5f3013e31c8a690aacb02c31,"4,9"
290,279,59cfc4ff4f2d3d0001d8e01c,"3,4,5,6,9,11"
291,206,5f628a5497682b3094294505,"3,6,7,8,10,12,13"
292,281,5fc2a391bd7dc21720d0160a,"2,3,7,8,10"
293,154,5be92cf1ba2782000117743e,"6,13"
294,190,57732cfcda75d30001487571,"4,9,12"
295,224,59a40f8f514a2200017e69dc,"3,4,6,7,8,9,10,11,12"
296,295,5bf29e1f8274d80001844fa2,"7,12"
297,33,63f77f1d502d6f83277a84a1,"2,4"
298,284,59ada3241059c50001afa98c,"4,9,12,13"
299,163,5df1fd62dc85350eb4d4ced1,"4,7,11"
300,116,5f45882f55090e1a65935ffd,"3,4,6,8,9,10,11"
301,136,65c8fb25936d1e6b58b5e4f3,"3,4,5,6,7,8,9,11,12,13"
302,132,654e38a9bd1961e9942af916,"3,8"
303,262,6597c4abac1506934c41e00f,"3,7,9,12,13"
304,178,5ea98c900640c90a3db307ff,"1,4,8,9,10,12,13"
305,123,5c2d27de867f660001af9b73,"9,12,13"
306,18,6159d9989d3806f0083f17fe,10
307,206,57c957626736cf0001b31f39,"2,3,8,10,13"
308,259,61656042f505fd7fa53e8628,"3,6,7,13"
309,264,6612d0a9046c003fef7f5e16,"2,3,4,7,9,10,11,12"
310,232,66088c59814ba8c63957669b,"7,9,10"
2,455,653a65392f6d9cacf3d12a26,
3,77,5f3020f06e1b570b4e6107fa,
4,819,54cb913dfdf99b56211ae2dc,
5,1326,62712d1c0b71829386d60eb4,
6,458,60f20aac9a3cd813c94175b4,
7,1873,61528277afcb4906d01e0442,
8,1411,60455b1578f6f36a3e8ea81c,
9,1556,5bedad72ecd1a90001a09c02,
10,813,63d69163ecd60f16ced6c9c4,
11,1810,57db358d631235000138ab6f,
12,104,633f77fe4105c3fcc1a40819,
13,59,633f77fe4105c3fcc1a40819,"1,2,3,4,5,6,7,8,9,10,11,12,13"
14,55,633f77fe4105c3fcc1a40819,"2,5"
15,209,656de485308c79d6cd40d321,"2,3,6,7,9,12,13"
16,272,5f2da8c96e40b00b1ab970b1,"7,9,11,13"
17,92,612d3e13048ec2b299126be6,"2,3,6,7,9,12"
18,57,5cc5b34662c5050017348192,"3,7,12"
19,100,5e432ceb394cd51c528ba4f0,"1,2,4,5,11,12"
20,133,5be1aac8ca095c0001b9f6e4,"1,3,5"
21,235,657603d32a51f2f39285d161,"2,9,10,11,12"
22,258,63d84783f7fe723209b60108,"7,8,9,10,11,12"
23,1,64138e0c6645b537dcb5ee24,"7,11,12,13"
24,52,5a6b98b03fb6420001c2f950,"4,6,9,12"
25,51,61644fe8ba697988f2136db9,"3,8,12"
26,99,63bd9a90d634fa1afd33b430,"9,10,13"
27,246,60383995960cdb1d96d9f511,"2,4,8,13"
28,220,63d3ff3b4b88dea688e34412,"4,10,11,12"
29,128,5f1afac4a6090e27181f302d,"4,9"
30,179,5bc1f23763221a00019fe607,"2,10"
31,260,5e2aa7df61f1670f7362bd62,"2,7,9,12"
32,284,57b8e70f35624400013d690c,"1,3,9,11"
33,137,5ea08689069d5305f6380c77,"4,7,8,11"
34,63,6072f19c492eb36c76252b34,"3,4,6,11,12,13"
35,77,644bfef77d2220b964ca0c30,"3,9"
36,92,63d7faea5fc2f437216b9259,"3,10,12"
37,5,5c2d1ffb1a241f0001870c2f,"9,12"
38,14,56ce2b1309734d000d439301,6
39,140,5b9f707da0e8f30001a17cba,"2,3,4,9,10,12,13"
40,162,617436710567e368c66b0761,"7,8,9,12"
41,217,5e88b403b7d189530ed1643f,"4,7,9,10,11,12"
42,124,5cd86c0731d19f0001425a89,"3,8,9,13"
43,5,5960c8eeb9153e0001616715,"1,2,3,4,8,10,12"
44,280,60953e706e4315704b74eb1f,"4,6,9,10"
45,143,59c63ec50aaf750001213c37,"3,4,6,9"
46,236,5e95b16a5a20a7024211e6f5,"3,6,10,12,13"
47,266,63f799908e217b159f1fbb3d,"3,4,7"
48,297,5f50e92ea80f5b286b90d157,2
49,268,5f1efb97bc6bff0850ca8eca,"2,9,11,12,13"
50,197,61290a6d15caaf4829964185,"2,6,7,8,9,10,11,12,13"
51,179,65b13b298787bfd79abc7752,"2,3,4,6,7,9,10,12"
52,13,5b166e64dbae3e00017e5ddb,"4,9,13"
53,279,5b2514ddba31fb0001253cf1,"3,7,9,10,12"
54,186,65b361173dc16c185f9dbdb1,"2,7,10,12"
55,127,6165dd3cc707738c27ffdf0a,"4,8,9"
56,164,5d39270980ccd20015ac3ee0,"4,10"
57,170,5f7735ba0b8f6221c5c2995f,"2,3,4,8,12,13"
58,288,6500656dce83949db89baeec,"4,9,11"
59,187,636419013bc521fae9f7db90,"4,8,9,10"
60,132,63bc692d3b234cef2d65eed7,"4,6,12,13"
61,55,6136347d66f91d960dbb264a,"8,12"
62,177,651ee5837c0971b81504ea6f,"3,4,6"
63,123,5c61c1f594ff070001830a99,"1,2,3,4,6,7,8,9,10,11,12,13"
64,140,611a45a99c4ee56ad9247e09,"2,3,4,8,9,13"
65,213,604c5ff80862dbf0bfe4caac,"4,5,9"
66,217,5e98125b717b31000aaa042d,"3,4,7,8,9,10,11,12,13"
67,264,5ea963e404c8da03b9ce62fe,"3,4,5,9,13"
68,166,63d7d24b7c5c14735adffba7,"2,4,8,9,11,12,13"
69,184,54249d5bfdf99b691e6ac9a0,"4,6"
70,301,60d35fa71e56e17e064c2c1e,"4,5,7,13"
71,266,602bebe42e34a23d1d0f72a3,"3,9,11,12"
72,115,62b5edc0f30897b95f76308b,
73,175,5eba9c85d1130507bd1a6219,"2,4,8,10,12"
74,226,614964ed4d5b9991b0fd700d,"2,7,9,10,13"
75,34,66105399d0c91c3e9e4c3bce,"3,9,11,12,13"
76,214,597c6cdf21db3a0001418541,10
77,3,5f69f87e83dfd701bfc84b39,"2,3,6,9,10,12,13"
78,285,5c1a9e323407be0001cf8165,"10,11"
79,189,6527f30cbb4e33f0f49944b0,"1,3,4,5,6,7,9,10,12,13"
80,205,656f2dfc805e68124b9b8217,"2,3,4,6,8,9,12"
81,1,59e8502b7f3d71000171df0a,"7,12"
82,84,594dd3de0dd7710001aeb5e9,"6,12"
83,145,59db7128e776fd00015ec895,"3,4,9"
84,107,5c7ed92f9c3fc00016f4e7dd,"8,9,10,12"
85,262,60ec5f9e9b8a3146ae4feac9,"2,3,5,6,7,8,9,10,11,12,13"
86,98,5fbb4b0d5fdea9c55f813ace,"1,4,5,9,10,13"
87,54,59ba64d06039190001eaaefe,"4,7,8,11"
88,119,6536729a14a02ad857b2ba04,"2,4,6,9"
89,265,5f74b3a0d780450b219f8616,"4,9,10"
90,268,60fd9b084a91f75f655da04f,"2,7,8,9,11"
91,42,563fbaae074be600115e9681,"4,9"
92,197,589b0346742ceb0001298b8e,11
93,15,56ad2bf85ea7aa000cbdf563,8
94,18,5ea6e9e63f70fe077f9b6abc,"2,4,9,11"
95,187,63f79db67653ad752d6c4477,"4,9,13"
96,61,5efcdcfeaead790f210c3181,"3,4,9,10"
97,268,602d1dd2d6ab3e694ea6ae9c,11
98,175,5cb2d3be2df32800172e3736,"4,6,8,9,10,12,13"
99,115,61bb384140db417c1a138c01,"3,7,12"
100,174,63d3fbb8c9da3aa4f9302827,"2,6,12"
101,241,642b03776e1d23aedc7bf5d1,"3,7"
102,,660d6f0b28273407c7cdfcbe,"6,8,13"
103,260,55198e94fdf99b36282b8a38,"2,4,6,8,9,12"
104,189,6149fc2761756b05d279d551,"5,7,9,10,12"
105,247,5e83247a6d7daf01d9a33632,"1,6,8,9,11"
106,185,5fa17668d344ba27114bdffe,"3,7,8,10,11,12"
107,273,65d757192a098c1e80fc61a5,"7,8,9,11"
108,274,5bc35154e7382100017cb9ef,"3,4,10"
109,46,632892646eb1fff474584dd7,"2,4,7,9,12"
110,280,5b731044b9daa700013fb269,"3,7,8"
111,221,5e176bb71a0686000bc8d314,"3,4,8,12,13"
112,215,5fb07c9ec19dcc47ed7175a7,"2,8,9"
113,,5c853fb8de8ae1001703d476,"3,4"
114,20,63d1590f1a0901cc2e861c32,"3,9,10,11"
115,226,607024597965d2372e3467be,"3,7,10,11"
116,177,603aab1865fbaa6fb8212583,"3,4,6,9"
117,,6124112341a3ec8fdf0f4886,12
118,57,54f8b0cdfdf99b5396a7d0a2,"2,4,7,9,13"
119,56,613d0bef49567e90a537d4d1,"2,5,8,10,12"
120,293,65bd1602798620a25a73d406,"4,6,9"
121,66,62b4688a155412edaf3f73a3,
122,,60fca4bf2a43e1683bb49cbb,"3,9"
123,3,63bda933c73904ed03687fd5,"2,8,9,10"
124,162,61140d2c5d85c524932a2c59,"3,4,6,7,8,9,10,11,12,13"
125,,60ee1474e6467957994ce2ff,"3,12"
126,14,5ef5226247f0991548028a7b,"4,6,8,11,12,13"
127,124,62cee327fdbabb98dd7d5699,"2,3,5,12"
128,231,5c980d0ecff9b20016cae76f,"4,7,8,9,11,13"
129,186,6405ca903145ccd2557ed52f,"1,5,12"
130,98,5999aedebbe8480001796677,"3,5,9"
131,285,5bef14ec21057a000140922a,"6,9,12,13"
132,,5b3355c9975e260001e986bd,"4,6,7,9"
133,,5a95935889de8200013ed605,"4,9"
134,,5ca35f23219293001653e971,"8,12"
135,204,634699cbb044d59e19d5a7ea,"2,3,4,5,10,13"
136,,627e79a6e1f2b10601861ca6,"1,5,6,13"
137,272,60e8f275f92d76c8f3a687bb,"4,6,10"
138,142,5b2e953a1d2f710001fb3ccd,"11,12"
139,142,62fa15b2c6c2fe8734da7698,"2,3,4,6,7,8,9,13"
140,181,612e41fb25de530ea83df0bc,"1,3,5,7,8,10"
141,245,5fd410790e3b0716869c801e,"3,4,8,10,12"
142,220,63d3e40d92c3c1dac54e2ee2,"8,9,12,13"
143,229,660e69ed7a38b4550665bd84,"9,10,12,13"
144,128,58fc6017ee99a700012ce5d8,8
145,297,558996f2fdf99b7ae47f5ed2,2
146,33,5ebfe132d46d24025eccd30d,"3,7"
147,296,5f341e306c067e1255643375,"2,9,12"
148,216,5d4960da4f91710019d9fc14,4
149,120,660b0645850199758392bd5b,"3,6,9,12"
150,216,57bc1180d50f410001e16ee9,
151,164,653a79ee361748065599e0c1,"4,7,9,12"
152,57,652039fb074c5f0f835a33cd,"6,7,10,11"
153,232,5bd30d709afb5b00015bff4f,"5,7,12"
